freq,unit,sex,age,icd10,resid,geo,2016 ,2017 ,2018 ,2019 ,2020 ,2021 ,2022 ,2023 
A,NR,F,TOTAL,F_OTH,TOT_IN,FR,1961 ,1998 ,2151 ,2195 ,2292 ,2117 ,2342 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,FX,1928 ,1967 ,2127 ,2163 ,2255 ,2089 ,2310 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,HR,269 ,234 ,231 ,257 ,224 ,229 ,257 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,HU,117 ,119 ,132 ,145 ,197 ,168 ,137 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,IE,25 ,25 ,25 ,23 ,23 ,31 ,38 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,IS,: ,6 ,3 ,3 ,3 ,6 ,7 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,IT,714 ,779 ,828 ,818 ,1018 ,985 ,1186 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,LI,1 ,0 ,0 ,0 ,0 ,1 ,0 ,0 
A,NR,F,TOTAL,F_OTH,TOT_IN,LT,8 ,5 ,10 ,12 ,15 ,13 ,13 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,LU,8 ,6 ,10 ,11 ,5 ,9 ,9 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,LV,7 ,8 ,15 ,4 ,13 ,18 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,MT,: ,0 ,2 ,2 ,0 ,3 ,0 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,NL,321 ,347 ,276 ,325 ,352 ,396 ,410 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,NO,83 ,102 ,56 ,62 ,74 ,90 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,PL,38 ,26 ,35 ,39 ,36 ,221 ,161 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,PT,69 ,52 ,82 ,104 ,119 ,104 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,RO,52 ,51 ,65 ,57 ,87 ,90 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,RS,213 ,249 ,246 ,272 ,305 ,332 ,301 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,SE,136 ,152 ,127 ,108 ,125 ,104 ,134 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,SI,3 ,7 ,3 ,8 ,6 ,6 ,11 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,SK,7 ,8 ,13 ,9 ,3 ,6 ,3 ,2 
A,NR,F,TOTAL,F_OTH,TOT_IN,TR,171 ,146 ,135 ,87 ,109 ,132 ,132 ,: 
A,NR,F,TOTAL,F_OTH,TOT_IN,UK,337 ,314 ,347 ,: ,: ,: ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,AT,19 ,17 ,17 ,35 ,27 ,36 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,BE,225 ,252 ,233 ,227 ,237 ,214 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,BG,15 ,12 ,11 ,18 ,13 ,13 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,CH,283 ,305 ,330 ,309 ,285 ,253 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,CY,3 ,2 ,6 ,6 ,11 ,11 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,CZ,25 ,33 ,25 ,25 ,40 ,43 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,DE,947 ,1293 ,1197 ,1190 ,1438 ,1566 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,DK,80 ,96 ,97 ,84 ,106 ,126 ,: ,: 
A,NR,F,TOTAL,F_OTH,TOT_RESID,EE,7 ,7 ,4 ,8 ,6 ,11 ,: ,: 
