freq,unit,sector,cofog99,na_item,geo,2018 ,2019 ,2020 ,2021 ,2022 
A,MIO_EUR,S13,GF0703,TE,SE,12214.2 ,12139.5 ,13007.5 ,14195.4 ,13896.9 
A,MIO_EUR,S13,GF0703,TE,SI,1391.9 ,1468.3 ,1834.3 ,1957.1 ,1937.5 
A,MIO_EUR,S13,GF0703,TE,SK,2443.0 ,2735.2 ,2938.2 ,3465.9 ,3400.2 
A,MIO_EUR,S13,GF0704,TE,AT,712.1 ,736.0 ,1574.1 ,5434.9 ,4779.0 
A,MIO_EUR,S13,GF0704,TE,BE,592.7 ,639.1 ,925.7 ,1891.4 ,1652.4 p
A,MIO_EUR,S13,GF0704,TE,BG,52.2 ,55.9 ,64.7 ,168.6 ,143.6 
A,MIO_EUR,S13,GF0704,TE,CH,640.1 ,688.9 ,1735.6 ,4380.5 ,1952.2 
A,MIO_EUR,S13,GF0704,TE,CY,7.9 ,8.5 ,28.8 ,36.5 ,85.6 
A,MIO_EUR,S13,GF0704,TE,CZ,2770.3 ,2902.8 ,3936.9 ,5095.1 ,5700.2 
A,MIO_EUR,S13,GF0704,TE,DE,2166.0 ,2348.0 ,13208.0 p,28527.0 p,32777.0 p
A,MIO_EUR,S13,GF0704,TE,DK,405.3 ,412.9 ,596.7 ,1185.3 ,624.2 
A,MIO_EUR,S13,GF0704,TE,EA19,15292.6 ,16316.4 ,42465.6 ,74918.7 ,73741.2 
A,MIO_EUR,S13,GF0704,TE,EA20,15484.3 ,16531.5 ,42741.4 ,75344.2 ,74219.8 
A,MIO_EUR,S13,GF0704,TE,EE,10.5 ,12.2 ,82.6 ,91.5 ,67.3 
A,MIO_EUR,S13,GF0704,TE,EL,20.0 ,35.0 ,161.0 ,660.0 ,434.0 
A,MIO_EUR,S13,GF0704,TE,ES,1081.0 ,1123.0 ,1274.0 ,2619.0 ,2956.0 p
A,MIO_EUR,S13,GF0704,TE,EU27_2020,20464.8 ,21702.4 ,49776.9 ,86661.3 ,83620.9 
A,MIO_EUR,S13,GF0704,TE,FI,72.0 ,77.0 ,317.0 ,496.0 ,395.0 
A,MIO_EUR,S13,GF0704,TE,FR,2748.0 ,2858.0 ,9407.0 ,13513.0 p,12221.0 p
A,MIO_EUR,S13,GF0704,TE,HR,191.8 ,215.1 ,275.8 ,425.6 ,478.7 
A,MIO_EUR,S13,GF0704,TE,HU,183.9 ,214.1 ,337.0 ,1184.1 ,565.2 
A,MIO_EUR,S13,GF0704,TE,IE,444.8 ,392.7 ,1636.2 ,1649.7 ,1789.9 
A,MIO_EUR,S13,GF0704,TE,IS,4.2 ,3.8 ,4.7 ,7.7 ,5.7 
A,MIO_EUR,S13,GF0704,TE,IT,5505.0 ,6055.0 ,8886.0 ,9906.0 ,9616.0 
A,MIO_EUR,S13,GF0704,TE,LT,27.0 ,40.8 ,92.3 ,103.9 ,73.0 
A,MIO_EUR,S13,GF0704,TE,LU,32.7 ,36.8 ,150.3 ,177.2 ,117.8 
A,MIO_EUR,S13,GF0704,TE,LV,16.5 ,35.3 ,91.8 ,179.8 ,45.4 
A,MIO_EUR,S13,GF0704,TE,MT,21.0 ,18.9 ,132.5 ,140.1 ,74.9 
A,MIO_EUR,S13,GF0704,TE,NL,1560.0 ,1613.0 ,4038.0 ,7984.0 ,5630.0 
A,MIO_EUR,S13,GF0704,TE,NO,973.2 ,1056.2 ,1210.1 ,1971.7 ,1739.2 
A,MIO_EUR,S13,GF0704,TE,PL,337.5 ,369.9 ,456.7 ,1276.8 ,546.5 
A,MIO_EUR,S13,GF0704,TE,PT,81.9 ,83.3 ,131.0 ,491.9 ,590.2 p
A,MIO_EUR,S13,GF0704,TE,RO,154.2 ,184.0 ,401.7 ,520.2 ,325.0 
A,MIO_EUR,S13,GF0704,TE,SE,1076.9 ,1031.3 ,1241.8 ,1887.1 ,1496.3 
A,MIO_EUR,S13,GF0704,TE,SI,155.1 ,161.5 ,216.8 ,403.9 ,343.0 
A,MIO_EUR,S13,GF0704,TE,SK,38.5 ,42.1 ,112.5 ,612.9 ,93.7 
A,MIO_EUR,S13,GF08,TE,AT,4473.8 ,4621.2 ,4556.8 ,4931.0 ,5238.9 
A,MIO_EUR,S13,GF08,TE,BE,5988.2 ,6092.3 ,5816.2 ,6036.0 ,6853.2 p
A,MIO_EUR,S13,GF08,TE,BG,451.7 ,413.1 ,525.2 ,658.1 ,527.7 
A,MIO_EUR,S13,GF08,TE,CH,6166.9 ,6484.4 ,7014.2 ,7346.5 ,7487.2 
A,MIO_EUR,S13,GF08,TE,CY,176.9 ,208.3 ,195.4 ,167.6 ,184.6 
A,MIO_EUR,S13,GF08,TE,CZ,3109.2 ,3216.3 ,3103.9 ,3205.2 ,3820.9 
A,MIO_EUR,S13,GF08,TE,DE,34724.0 ,36179.0 ,37452.0 p,38150.0 p,39956.0 p
A,MIO_EUR,S13,GF08,TE,DK,4909.6 ,4976.9 ,5282.9 ,5460.1 ,5327.2 
A,MIO_EUR,S13,GF08,TE,EA19,128555.9 ,133678.7 ,131591.9 ,140276.5 ,149499.2 
A,MIO_EUR,S13,GF08,TE,EA20,129428.7 ,134651.8 ,132576.3 ,141290.1 ,150560.0 
A,MIO_EUR,S13,GF08,TE,EE,509.2 ,563.9 ,554.6 ,647.4 ,677.8 
A,MIO_EUR,S13,GF08,TE,EL,1731.0 ,1723.0 ,1822.0 ,2014.0 ,2177.0 
