freq,unit,sex,age,icd10,geo\TIME_PERIOD	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 
A,RT,F,TOTAL,A-R_V-Y,ES62	782.31 	728.39 	726.62 	768.92 	719.05 	742.3 	718.02 	721.43 	741.11 	746.43 
A,RT,F,TOTAL,A-R_V-Y,ES63	914.39 	897.34 	843.24 	755.28 	803.22 	816.3 	822.14 	821.44 	982.68 	976.85 
A,RT,F,TOTAL,A-R_V-Y,ES64	876.59 	853.37 	825.63 	964.38 	820.26 	840.54 	894.54 	778.97 	999.69 	937.8 
A,RT,F,TOTAL,A-R_V-Y,ES7	764.74 	707.56 	715.39 	748.48 	702.13 	696.2 	722.45 	665.02 	670.46 	668.94 
A,RT,F,TOTAL,A-R_V-Y,ES70	764.74 	707.56 	715.39 	748.48 	702.13 	696.2 	722.45 	665.02 	670.46 	668.94 
A,RT,F,TOTAL,A-R_V-Y,EU27_2020	866.51 	844.38 	815.04 	846.68 	807.62 	817.16 	806.89 	785.32 	852.53 	864.63 
A,RT,F,TOTAL,A-R_V-Y,EU28	851.2 d	840.06 d	817.71 	849.26 	812.91 	820.78 	: 	: 	: 	: 
A,RT,F,TOTAL,A-R_V-Y,FI	824.03 	799.82 	803.38 	781.76 	782.2 	762.64 	762.22 	735.48 	735.53 	745.68 
A,RT,F,TOTAL,A-R_V-Y,FI1	822.41 	799.6 	802.6 	781.06 	781.45 	762.16 	768.97 	737.82 	735.54 	745.7 
A,RT,F,TOTAL,A-R_V-Y,FI19	816.51 	787.66 	791.2 	767.31 	766.77 	750.19 	758.72 	725.02 	719.49 	735.33 
A,RT,F,TOTAL,A-R_V-Y,FI1B	808.2 	778.1 	790.64 	778.5 	765.34 	736.08 	742.39 	714.74 	731.65 	727.05 
A,RT,F,TOTAL,A-R_V-Y,FI1C	816.53 	811.93 	803.06 	774.16 	791.82 	770.07 	777.25 	740.86 	736.53 	746.42 
A,RT,F,TOTAL,A-R_V-Y,FI1D	847.41 	822.06 	827.73 	805.15 	802.39 	792.76 	798.99 	772.59 	758.01 	772.24 
